from,dest,path,coordinates
"Talkeetna, AK: Talkeetna Airport","Toms River, NJ: Ocean County","['Talkeetna, AK: Talkeetna Airport', 'Red Devil, AK: Red Devil Airport', 'Bethel, AK: Bethel Airport', 'Fairbanks, AK: Fairbanks International', ""Chicago, IL: Chicago O'Hare International"", 'White Plains, NY: Westchester County', 'Gaithersburg, MD: Montgomery County Airpark', 'Toms River, NJ: Ocean County']","[('62.320499420166', '-150.09399414062'), ('61.7881011963', '-157.350006104'), ('60.77980042', '-161.8379974'), ('64.81510162', '-147.8560028'), ('41.9786', '-87.9048'), ('41.06700134277344', '-73.70760345458984'), ('39.168300628699996', '-77.1660003662'), ('39.92750168', '-74.29239655')]"
"Talkeetna, AK: Talkeetna Airport","Glens Falls, NY: Floyd Bennett Memorial","['Talkeetna, AK: Talkeetna Airport', 'Red Devil, AK: Red Devil Airport', 'Bethel, AK: Bethel Airport', 'Anchorage, AK: Ted Stevens Anchorage International', 'Dallas/Fort Worth, TX: Dallas/Fort Worth International', 'Latrobe, PA: Arnold Palmer Regional', 'Nashua, NH: Boire Field', 'Glens Falls, NY: Floyd Bennett Memorial']","[('62.320499420166', '-150.09399414062'), ('61.7881011963', '-157.350006104'), ('60.77980042', '-161.8379974'), ('61.1744', '-149.996002'), ('32.896801', '-97.038002'), ('40.27590179', '-79.40480042'), ('42.7817', '-71.514801'), ('43.3412017822', '-73.6102981567')]"
"Talkeetna, AK: Talkeetna Airport","Oxford, MS: University-Oxford","['Talkeetna, AK: Talkeetna Airport', 'Red Devil, AK: Red Devil Airport', 'Bethel, AK: Bethel Airport', 'Fairbanks, AK: Fairbanks International', ""Chicago, IL: Chicago O'Hare International"", 'San Jose, CA: Norman Y. Mineta San Jose International', 'Hamilton, OH: Butler County Regional Hogan Field', 'Oxford, MS: University-Oxford']","[('62.320499420166', '-150.09399414062'), ('61.7881011963', '-157.350006104'), ('60.77980042', '-161.8379974'), ('64.81510162', '-147.8560028'), ('41.9786', '-87.9048'), ('37.362598', '-121.929001'), ('39.363800048799995', '-84.5220031738'), ('34.384300231934', '-89.536796569824')]"
"Talkeetna, AK: Talkeetna Airport","Morrisville, VT: Morrisville Stowe State","['Talkeetna, AK: Talkeetna Airport', 'Red Devil, AK: Red Devil Airport', 'Bethel, AK: Bethel Airport', 'Fairbanks, AK: Fairbanks International', ""Chicago, IL: Chicago O'Hare International"", 'Albany, NY: Albany International', 'Hyannis, MA: Barnstable Municipal-Boardman/Polando Field', 'Morrisville, VT: Morrisville Stowe State']","[('62.320499420166', '-150.09399414062'), ('61.7881011963', '-157.350006104'), ('60.77980042', '-161.8379974'), ('64.81510162', '-147.8560028'), ('41.9786', '-87.9048'), ('42.74829864501953', '-73.80169677734375'), ('41.66930008', '-70.28040314'), ('44.53459930419999', '-72.6139984131')]"
"Talkeetna, AK: Talkeetna Airport","Westerly, RI: Westerly State","['Talkeetna, AK: Talkeetna Airport', 'Red Devil, AK: Red Devil Airport', 'Bethel, AK: Bethel Airport', 'Fairbanks, AK: Fairbanks International', ""Chicago, IL: Chicago O'Hare International"", 'White Plains, NY: Westchester County', 'Philadelphia, PA: Northeast Philadelphia', 'Westerly, RI: Westerly State']","[('62.320499420166', '-150.09399414062'), ('61.7881011963', '-157.350006104'), ('60.77980042', '-161.8379974'), ('64.81510162', '-147.8560028'), ('41.9786', '-87.9048'), ('41.06700134277344', '-73.70760345458984'), ('40.081902', '-75.010597'), ('41.3496017456', '-71.8033981323')]"
"Talkeetna, AK: Talkeetna Airport","Miami, FL: Kendall-Tamiami Executive","['Talkeetna, AK: Talkeetna Airport', 'Red Devil, AK: Red Devil Airport', 'Bethel, AK: Bethel Airport', 'Anchorage, AK: Ted Stevens Anchorage International', 'Denver, CO: Denver International', 'Gainesville, FL: Gainesville Regional', 'Fort Lauderdale, FL: Fort Lauderdale Executive', 'Miami, FL: Kendall-Tamiami Executive']","[('62.320499420166', '-150.09399414062'), ('61.7881011963', '-157.350006104'), ('60.77980042', '-161.8379974'), ('61.1744', '-149.996002'), ('39.861698150635', '-104.672996521'), ('29.6900997162', '-82.2717971802'), ('26.1972999573', '-80.1707000732'), ('25.6479', '-80.4328')]"
"Talkeetna, AK: Talkeetna Airport","Marshfield, WI: Marshfield Municipal","['Talkeetna, AK: Talkeetna Airport', 'Red Devil, AK: Red Devil Airport', 'Bethel, AK: Bethel Airport', 'Fairbanks, AK: Fairbanks International', ""Chicago, IL: Chicago O'Hare International"", 'Fort Wayne, IN: Fort Wayne International', 'Jacksonville, IL: Jacksonville Municipal', 'Marshfield, WI: Marshfield Municipal']","[('62.320499420166', '-150.09399414062'), ('61.7881011963', '-157.350006104'), ('60.77980042', '-161.8379974'), ('64.81510162', '-147.8560028'), ('41.9786', '-87.9048'), ('40.97850037', '-85.19509888'), ('39.774600982666016', '-90.23829650878906'), ('44.6369018555', '-90.18930053710001')]"
"Talkeetna, AK: Talkeetna Airport","Annapolis, MD: Lee","['Talkeetna, AK: Talkeetna Airport', 'Red Devil, AK: Red Devil Airport', 'Bethel, AK: Bethel Airport', 'Anchorage, AK: Ted Stevens Anchorage International', 'Atlanta, GA: Hartsfield-Jackson Atlanta International', 'Trenton, NJ: Trenton Mercer', 'Waterbury, CT: Waterbury Oxford', 'Annapolis, MD: Lee']","[('62.320499420166', '-150.09399414062'), ('61.7881011963', '-157.350006104'), ('60.77980042', '-161.8379974'), ('61.1744', '-149.996002'), ('33.6367', '-84.428101'), ('40.27669906616211', '-74.8134994506836'), ('41.47859954834', '-73.135200500488'), ('38.942902', '-76.568398')]"
"Fairbanks, AK: Eielson AFB","Annapolis, MD: Lee","['Fairbanks, AK: Eielson AFB', 'Utopia, AK: Indian Mountain LRRS', 'Fairbanks, AK: Fairbanks International', 'Denver, CO: Denver International', 'White Plains, NY: Westchester County', 'Philadelphia, PA: Northeast Philadelphia', 'Waterbury, CT: Waterbury Oxford', 'Annapolis, MD: Lee']","[('64.66570282', '-147.102005'), ('65.99279785', '-153.7039948'), ('64.81510162', '-147.8560028'), ('39.861698150635', '-104.672996521'), ('41.06700134277344', '-73.70760345458984'), ('40.081902', '-75.010597'), ('41.47859954834', '-73.135200500488'), ('38.942902', '-76.568398')]"
"Hamilton, OH: Butler County Regional Hogan Field","Skwentna, AK: Skwentna Airport","['Hamilton, OH: Butler County Regional Hogan Field', 'Belmar/Farmingdale, NJ: Monmouth Executive', 'White Plains, NY: Westchester County', 'Burbank, CA: Bob Hope', 'Anchorage, AK: Ted Stevens Anchorage International', 'McGrath, AK: McGrath Airport', 'Anchorage, AK: Merrill Field', 'Skwentna, AK: Skwentna Airport']","[('39.363800048799995', '-84.5220031738'), ('40.18690109', '-74.12490082'), ('41.06700134277344', '-73.70760345458984'), ('34.197703', '-118.356378'), ('61.1744', '-149.996002'), ('62.95289993', '-155.6060028'), ('61.2135009765625', '-149.843994140625'), ('61.9653015137', '-151.190994263')]"
"Westerly, RI: Westerly State","Point Baker, AK: Point Baker Airport","['Westerly, RI: Westerly State', 'Block Island, RI: Block Island State', 'East Farmingdale, NY: Republic', 'Burbank, CA: Bob Hope', 'Anchorage, AK: Ted Stevens Anchorage International', 'Ketchikan, AK: Ketchikan International', 'Coffman Cove, AK: Coffman Cove Seaplane Base', 'Point Baker, AK: Point Baker Airport']","[('41.3496017456', '-71.8033981323'), ('41.1680984497', '-71.577796936'), ('40.7288017273', '-73.4133987427'), ('34.197703', '-118.356378'), ('61.1744', '-149.996002'), ('55.35559845', '-131.7140045'), ('56.003200531', '-132.841995239'), ('56.3518981934', '-133.623001099')]"
"Westerly, RI: Westerly State","Skwentna, AK: Skwentna Airport","['Westerly, RI: Westerly State', 'Block Island, RI: Block Island State', 'East Farmingdale, NY: Republic', 'Indianapolis, IN: Indianapolis International', 'Fairbanks, AK: Fairbanks International', 'McGrath, AK: McGrath Airport', 'Anchorage, AK: Merrill Field', 'Skwentna, AK: Skwentna Airport']","[('41.3496017456', '-71.8033981323'), ('41.1680984497', '-71.577796936'), ('40.7288017273', '-73.4133987427'), ('39.7173', '-86.294403'), ('64.81510162', '-147.8560028'), ('62.95289993', '-155.6060028'), ('61.2135009765625', '-149.843994140625'), ('61.9653015137', '-151.190994263')]"
"Westerly, RI: Westerly State","Hydaburg, AK: Hydaburg Seaplane Base","['Westerly, RI: Westerly State', 'Block Island, RI: Block Island State', 'East Farmingdale, NY: Republic', 'Burbank, CA: Bob Hope', 'Anchorage, AK: Ted Stevens Anchorage International', 'Ketchikan, AK: Ketchikan International', 'Craig, AK: Craig Seaplane Base', 'Hydaburg, AK: Hydaburg Seaplane Base']","[('41.3496017456', '-71.8033981323'), ('41.1680984497', '-71.577796936'), ('40.7288017273', '-73.4133987427'), ('34.197703', '-118.356378'), ('61.1744', '-149.996002'), ('55.35559845', '-131.7140045'), ('55.47880172729492', '-133.1479949951172'), ('55.206298828125', '-132.8280029296875')]"
"Annapolis, MD: Lee","Point Baker, AK: Point Baker Airport","['Annapolis, MD: Lee', 'Waterbury, CT: Waterbury Oxford', 'Teterboro, NJ: Teterboro Airport', 'Burbank, CA: Bob Hope', 'Anchorage, AK: Ted Stevens Anchorage International', 'Ketchikan, AK: Ketchikan International', 'Coffman Cove, AK: Coffman Cove Seaplane Base', 'Point Baker, AK: Point Baker Airport']","[('38.942902', '-76.568398'), ('41.47859954834', '-73.135200500488'), ('40.85010147089999', '-74.060798645'), ('34.197703', '-118.356378'), ('61.1744', '-149.996002'), ('55.35559845', '-131.7140045'), ('56.003200531', '-132.841995239'), ('56.3518981934', '-133.623001099')]"
"Annapolis, MD: Lee","Skwentna, AK: Skwentna Airport","['Annapolis, MD: Lee', 'Waterbury, CT: Waterbury Oxford', 'Teterboro, NJ: Teterboro Airport', 'Burbank, CA: Bob Hope', 'Anchorage, AK: Ted Stevens Anchorage International', 'McGrath, AK: McGrath Airport', 'Anchorage, AK: Merrill Field', 'Skwentna, AK: Skwentna Airport']","[('38.942902', '-76.568398'), ('41.47859954834', '-73.135200500488'), ('40.85010147089999', '-74.060798645'), ('34.197703', '-118.356378'), ('61.1744', '-149.996002'), ('62.95289993', '-155.6060028'), ('61.2135009765625', '-149.843994140625'), ('61.9653015137', '-151.190994263')]"
"Annapolis, MD: Lee","Hydaburg, AK: Hydaburg Seaplane Base","['Annapolis, MD: Lee', 'Waterbury, CT: Waterbury Oxford', 'Teterboro, NJ: Teterboro Airport', 'Burbank, CA: Bob Hope', 'Anchorage, AK: Ted Stevens Anchorage International', 'Ketchikan, AK: Ketchikan International', 'Craig, AK: Craig Seaplane Base', 'Hydaburg, AK: Hydaburg Seaplane Base']","[('38.942902', '-76.568398'), ('41.47859954834', '-73.135200500488'), ('40.85010147089999', '-74.060798645'), ('34.197703', '-118.356378'), ('61.1744', '-149.996002'), ('55.35559845', '-131.7140045'), ('55.47880172729492', '-133.1479949951172'), ('55.206298828125', '-132.8280029296875')]"
"Jacksonville, IL: Jacksonville Municipal","Skwentna, AK: Skwentna Airport","['Jacksonville, IL: Jacksonville Municipal', 'Marshfield, WI: Marshfield Municipal', 'Bloomington/Normal, IL: Central Illinois Regional', 'Atlanta, GA: Hartsfield-Jackson Atlanta International', 'Anchorage, AK: Ted Stevens Anchorage International', 'McGrath, AK: McGrath Airport', 'Anchorage, AK: Merrill Field', 'Skwentna, AK: Skwentna Airport']","[('39.774600982666016', '-90.23829650878906'), ('44.6369018555', '-90.18930053710001'), ('40.47710037', '-88.91590118'), ('33.6367', '-84.428101'), ('61.1744', '-149.996002'), ('62.95289993', '-155.6060028'), ('61.2135009765625', '-149.843994140625'), ('61.9653015137', '-151.190994263')]"
"Hydaburg, AK: Hydaburg Seaplane Base","Marshfield, WI: Marshfield Municipal","['Hydaburg, AK: Hydaburg Seaplane Base', 'Hollis, AK: Hollis Seaplane Base', 'Ketchikan, AK: Ketchikan International', 'Seattle, WA: Seattle/Tacoma International', 'Atlanta, GA: Hartsfield-Jackson Atlanta International', 'Fort Wayne, IN: Fort Wayne International', 'Jacksonville, IL: Jacksonville Municipal', 'Marshfield, WI: Marshfield Municipal']","[('55.206298828125', '-132.8280029296875'), ('55.4816017151', '-132.645996094'), ('55.35559845', '-131.7140045'), ('47.449001', '-122.308998'), ('33.6367', '-84.428101'), ('40.97850037', '-85.19509888'), ('39.774600982666016', '-90.23829650878906'), ('44.6369018555', '-90.18930053710001')]"
"Hydaburg, AK: Hydaburg Seaplane Base","Glens Falls, NY: Floyd Bennett Memorial","['Hydaburg, AK: Hydaburg Seaplane Base', 'Hollis, AK: Hollis Seaplane Base', 'Ketchikan, AK: Ketchikan International', 'Seattle, WA: Seattle/Tacoma International', 'Fort Lauderdale, FL: Fort Lauderdale-Hollywood International', 'Latrobe, PA: Arnold Palmer Regional', 'Nashua, NH: Boire Field', 'Glens Falls, NY: Floyd Bennett Memorial']","[('55.206298828125', '-132.8280029296875'), ('55.4816017151', '-132.645996094'), ('55.35559845', '-131.7140045'), ('47.449001', '-122.308998'), ('26.072599', '-80.152702'), ('40.27590179', '-79.40480042'), ('42.7817', '-71.514801'), ('43.3412017822', '-73.6102981567')]"
"Point Baker, AK: Point Baker Airport","Marshfield, WI: Marshfield Municipal","['Point Baker, AK: Point Baker Airport', 'Coffman Cove, AK: Coffman Cove Seaplane Base', 'Ketchikan, AK: Ketchikan International', 'Seattle, WA: Seattle/Tacoma International', 'Atlanta, GA: Hartsfield-Jackson Atlanta International', 'Fort Wayne, IN: Fort Wayne International', 'Jacksonville, IL: Jacksonville Municipal', 'Marshfield, WI: Marshfield Municipal']","[('56.3518981934', '-133.623001099'), ('56.003200531', '-132.841995239'), ('55.35559845', '-131.7140045'), ('47.449001', '-122.308998'), ('33.6367', '-84.428101'), ('40.97850037', '-85.19509888'), ('39.774600982666016', '-90.23829650878906'), ('44.6369018555', '-90.18930053710001')]"
"Point Baker, AK: Point Baker Airport","Glens Falls, NY: Floyd Bennett Memorial","['Point Baker, AK: Point Baker Airport', 'Coffman Cove, AK: Coffman Cove Seaplane Base', 'Ketchikan, AK: Ketchikan International', 'Seattle, WA: Seattle/Tacoma International', 'Fort Lauderdale, FL: Fort Lauderdale-Hollywood International', 'Latrobe, PA: Arnold Palmer Regional', 'Nashua, NH: Boire Field', 'Glens Falls, NY: Floyd Bennett Memorial']","[('56.3518981934', '-133.623001099'), ('56.003200531', '-132.841995239'), ('55.35559845', '-131.7140045'), ('47.449001', '-122.308998'), ('26.072599', '-80.152702'), ('40.27590179', '-79.40480042'), ('42.7817', '-71.514801'), ('43.3412017822', '-73.6102981567')]"
